SessionID,IPID,TIMESTAMP,VHOST,URL_FILE,PAGE_NAME,REF_URL_category,page_load_error,page_action_detail,tip,service_detail,xps_info,page_action_detail_EN,service_detail_EN,tip_EN
9709637,32252,2015-09-09 08:41:16.933000000,www.werk.nl,/werk_nl/werkgever/cvs_zoeken,cvs_zoeken,,0,,,,,,,
24410332,328776,2015-09-09 11:17:33.703000000,www.werk.nl,/werk_nl/werknemer/home,home,,0,,,,,,,
12989875,806282,2015-09-08 18:32:30.523000000,digid.werk.nl,/portal/page/portal/home/diensten/aanvragen-ww,aanvragen-ww,,0,,,2. Uw laatste werkgever,,,2. Your last employer,
4775769,1374967,2015-09-08 12:08:05.763000000,digid.werk.nl,/portal/page/portal/home/diensten/aanvragen-tw,aanvragen-tw,,0,,,,,,,
27370352,805833,2015-09-09 10:41:02.817000000,www.werk.nl,/werk_nl/werknemer/uitkering-aanvragen/ww,ww,UWV,0,,,,,,,
7012706,355908,2015-09-09 09:37:08.803000000,www.werk.nl,/werk_nl/werkgever/login,login,,0,,,,,,,
17347572,1071509,2015-09-08 13:21:12.503000000,www.werk.nl,/werk_nl/werknemer/werkmap,werkmap,UWV,0,,,,,,,
31098095,214216,2015-09-09 10:30:47.153000000,www.werk.nl,/werk_nl/werknemer/vacatures,vacatures,Search Engine,0,,,,,,,
5355476,532288,2015-09-09 04:12:03.480000000,digid.werk.nl,/portal/page/portal/home/diensten/aanvragen-ww,aanvragen-ww,,0,,,6. Uw arbeidsverleden,,,6. Your employment history,
4572800,345340,2015-09-08 15:23:53.080000000,www.werk.nl,/werk_nl/werkgever/cvs_zoeken,cvs_zoeken,,0,,,,,,,
8121823,145923,2015-09-09 11:49:04.183000000,www.werk.nl,/werk_nl/werkgever/cvs_zoeken,cvs_zoeken,,0,,,,,,,
12918398,1589892,2015-09-09 11:23:41.317000000,www.werk.nl,/werk_nl/werknemer/werkmap,werkmap,UWV,0,,,,,,,
14974656,1426749,2015-09-08 12:48:46.207000000,www.werk.nl,/werk_nl/werkgever/cvs_zoeken,cvs_zoeken,,0,,,,,,,
22532225,1728554,2015-09-09 11:49:43.297000000,www.werk.nl,/werk_nl/werkgever/cvs_zoeken,cvs_zoeken,,0,,,,,,,
196961,491388,2015-09-09 09:09:04.320000000,www.werk.nl,/werk_nl/werkgever/home,home,,0,,,,,,,
4582803,100638,2015-09-09 09:23:19.497000000,www.werk.nl,/werk_nl/werknemer/home,home,Search Engine,0,,,,,,,
5323826,253860,2015-09-09 20:40:29.413000000,www.werk.nl,/werk_nl/werknemer/vacatures,vacatures,,0,,,,,,,
31446650,1685885,2015-09-09 10:39:39.610000000,www.werk.nl,/shared/timeout.htm,timeout.htm,,0,,,,,,,
5747444,220349,2015-09-08 09:28:54.777000000,digid.werk.nl,/portal/page/portal/home/diensten/aanvragen-ww,aanvragen-ww,,0,,,4. Gewerkte uren,,,4. Hours worked,
7907717,409031,2015-09-09 10:06:06.180000000,www.werk.nl,/werk_nl/werkgever/cvs_zoeken,cvs_zoeken,,0,,,,,,,
4975059,271515,2015-09-09 11:22:26.407000000,www.werk.nl,/werk_nl/werknemer/uitkering-aanvragen/ww,ww,UWV,0,,,,,,,
22785013,1646217,2015-09-09 07:35:04.457000000,www.werk.nl,/shared/timeout.htm,timeout.htm,,0,,,,,,,
678547,48286,2015-09-09 09:40:19.083000000,www.werk.nl,/werk_nl/werknemer/vacatures,vacatures,,0,,,,,,,
26040680,179490,2015-09-09 10:43:50.920000000,digid.werk.nl,/portal/page/portal/home/diensten/aanvragen-bijstand,aanvragen-bijstand,,0,,,3. Uw bezittingen,,,3. Your possessions,
22946202,276441,2015-09-08 17:55:22.767000000,digid.werk.nl,/portal/page/portal/home/diensten/aanvragen-ww,aanvragen-ww,,0,,,2. Uw laatste werkgever,,,2. Your last employer,
6558993,1595209,2015-09-09 11:42:07.613000000,www.werk.nl,/werk_nl/werknemer/vacatures,vacatures,,0,,,,,,,
13450586,10984,2015-09-09 08:51:37.593000000,www.werk.nl,/werk_nl/werknemer/home,home,Search Engine,0,,,,,,,
14159705,837016,2015-09-09 13:01:21.563000000,www.werk.nl,/portal/page/portal/werk_nl/werknemer/uitkering-aanvragen/ww,ww,,0,,,,,,,
24500092,1651325,2015-09-08 09:29:49.133000000,digid.werk.nl,/portal/page/portal/home/diensten/aanvragen-ww,aanvragen-ww,,0,,,7. Toeslag,,,7. Supplement,
13420512,1810298,2015-09-09 11:45:08.470000000,www.werk.nl,/werk_nl/werknemer/vacatures,vacatures,,0,,,,,,,
19109553,1563947,2015-09-09 09:40:39.307000000,www.werk.nl,/xdocs/ux-frontend/fonts/uwvsanlig-webfont.eot,uwvsanlig-webfont.eot,,0,,,,,,,
11847452,416627,2015-09-09 09:35:33.263000000,www.werk.nl,/werk_nl/werknemer/vacatures,vacatures,,0,,,,,,,
17614321,1614088,2015-09-08 15:07:55.607000000,digid.werk.nl,/portal/page/portal/home/diensten/aanvragen-bijstand,aanvragen-bijstand,,0,,,1. Uw situatie,,,1. Your situation,
4007573,1754354,2015-09-09 11:46:15.330000000,www.werk.nl,/werk_nl/werknemer/vacatures,vacatures,,0,,,,,,,
16776386,136370,2015-09-08 15:47:13.657000000,digid.werk.nl,/portal/page/portal/home/diensten/aanvragen-bijstand,aanvragen-bijstand,,0,,,1. Uw situatie,,,1. Your situation,
